source,category,current_twh_2024,proj_twh_2035_low,proj_twh_2035_high,lcoe_usd_kwh_low,lcoe_usd_kwh_high,winter_output_share_pct,cost_score,environmental_score,reliability_score,scalability_score,implementation_speed_score,land_use_score,public_acceptance_score,energy_security_score
Hydropower (existing large + reservoir),Existing,36.0,36.0,39.0,0.02,0.06,45,5,3,5,2,5,2,5,5
Hydro flexibility / pumped storage (new increment),Expansion,0.0,1.0,3.0,0.08,0.15,55,3,4,5,2,2,4,4,5
Nuclear (existing fleet),Existing,20.0,14.0,20.0,0.02,0.05,50,4,4,5,1,5,5,3,5
Nuclear (new build, contingent on referendum),New,0.0,0.0,0.0,0.10,0.19,50,1,4,5,2,1,5,2,3
Solar PV (Plateau / rooftop),Expansion,6.0,12.0,18.0,0.04,0.07,20,5,4,2,5,5,3,4,2
Solar PV (Alpine / Solarexpress),New,0.3,3.0,8.0,0.06,0.11,50,3,3,3,4,3,2,3,5
Wind (onshore),Expansion,0.15,0.3,1.2,0.05,0.10,55,4,4,3,2,1,4,2,3
Biomass / biogas,Existing,2.5,2.5,3.5,0.05,0.12,40,3,3,4,1,3,3,4,3
Deep geothermal (electricity),New,0.0,0.0,0.2,0.09,0.18,50,2,4,5,1,1,5,2,2
Net winter imports (reference baseline),Reference,4.5,0.0,5.0,0.06,0.25,100,2,3,2,5,5,5,2,1
